42;93;6.68
10;42;3.69
105;93;3.68
10;105;2.92
42;56;2.75
93;42;2.04
10;84;1.63
42;10;1.51
93;105;1.47
63;93;1.46
10;56;1.32
59;93;1.03
6;93;1.02
10;60;0.93
56;42;0.92
139;42;0.87
105;10;0.85
42;84;0.79
10;89;0.68
10;59;0.67
60;42;0.65
89;10;0.65
84;10;0.6
84;42;0.57
10;93;0.52
139;105;0.52
6;56;0.47
17;93;0.43
60;10;0.41
93;59;0.4
63;10;0.39
105;56;0.38
1;56;0.38
10;6;0.37
93;84;0.36
42;99;0.35
91;10;0.34
93;56;0.34
56;10;0.33
42;60;0.33
52;93;0.32
10;91;0.31
84;93;0.3
56;93;0.3
99;42;0.29
58;10;0.29
59;60;0.29
10;52;0.29
93;10;0.28
63;99;0.28
42;139;0.27
59;10;0.27
51;93;0.26
10;63;0.25
36;42;0.25
105;84;0.24
93;60;0.23
99;105;0.23
68;42;0.22
108;56;0.21
105;99;0.21
42;185;0.21
93;91;0.21
63;56;0.2
42;40;0.2
60;93;0.19
1;84;0.19
105;139;0.19
108;84;0.18
36;105;0.18
88;42;0.18
88;56;0.18
42;149;0.17
56;108;0.17
84;185;0.17
10;185;0.17
118;42;0.17
42;208;0.17
91;93;0.17
117;42;0.17
63;84;0.16
208;42;0.16
60;185;0.16
93;63;0.16
93;52;0.16
117;56;0.16
93;66;0.15
42;36;0.15
10;58;0.15
36;89;0.15
42;117;0.15
185;42;0.15
42;161;0.15
105;149;0.14
63;60;0.11
63;117;0.07
63;185;0.07
63;40;0.06
63;149;0.05
99;63;0.04
