705;Cryptonex;;0;36071
713;CashOut;;0;200000
687;WikiPays;;0;1638
690;Fair-Exchange;413428403759;0;26505
685;BitCash;;0;449530
684;100Bitcoins;;0;758344
723;BitObmen;;0;953138
718;Platov;;0;31675931
688;ExchangeExpress;279259009479;857;0
712;Criptify;;0;45164
755;Big-Changer;;0;5465
703;Obmen4you;320026778932;1638;0
716;Bitok777;;0;134
782;Tec-Bit;;0;5123161
763;PushPayer;753021635396;0;104090
758;CryptoBox;;0;8996971
741;BTCe-Obmen;;0;930883
737;BonkyPay;232342940453;0;137543315
761;FlashObmen;;0;227263
754;24XChange;;0;212850
757;ChangeNow;;0;64711412
770;BTC24pro;;0;1694660
779;MoneyMix;;0;4183418
790;2rbina;;0;47444002
776;XbiTrade;;0;1285894
785;PayMarket;;0;252944
780;Bitcoin24Pro;;0;90075543
774;ОбменМонет;;0;7040036
766;UniCash;;0;71759671
764;NiceChange;;0;112576460
772;CoinPayMaster;;0;651787397
792;SberBit;;0;385
799;Криптообменник;;0;1612034
801;Coin-Future;;0;28069
793;IceBTC;;0;0
798;Quickex;;0;39785611
808;ChangeCoins;;0;1161991
814;BitBits;;0;98952
835;7Pay;709807738416;1767;698204
827;Crypster;;0;17808407
817;Enter-Change;888424832490;0;63742556
812;Ex-Bank;;0;8526686
823;Обменочка;;0;1478580
809;XbitMoney;155289860990;1711;5314
825;MyChanger;;0;1718268
816;WM007;;0;162417
840;YoChange;;0;289024955
838;AlfaExchange;;0;65265055
839;MyInvestStory;;0;2885
815;Belqi;;0;0
842;AllMoney;406103529800;225;3350725
850;Keine-Exchange;;0;240543450
848;SwapCoin;;0;17477100
852;RamonCash;;0;35242615
855;CoinStart;;0;198822724
858;FixedFloat;;0;12263046
865;Bixter;;0;14289669
869;ExpoChange;412963033166;0;46747009
866;Delets;;0;36437411
872;WM-Obmen;362955051206;1819;392055
871;BitokAi;;0;344598634
895;CryptoBarMen;;0;119769260
867;Сумма;;0;3596747
870;Alfa-Trades;;0;104896004
881;AllTrustMe;;0;6465778
877;Об-мен;963523258975;0;4998396
890;Bitcoff;631856629771;0;0
907;ObmenAT24;;0;1865920
874;ChangeHero;;0;61307437
1093;GetExch;;0;50552949
905;TraiderIdeal;;0;25462
902;BTC-Волга;;0;9776597
885;JPMarket;;0;4524065
897;AnonEx;;0;2005469
888;GramBit;;0;109502458
894;КупиБит;;0;15308779
898;Вобменка;;0;108497
906;CryptoHonest;;0;28978688
901;WMStar;310224582545;0;46349
899;CoinShop24;;0;138511184
900;Obmen-Box;;0;189970
896;CoinChanger;;0;1524072
910;WMT;797230232341;0;259508
915;CoinGuru;;0;0
914;Ex-code;;0;2378
989;CoinsBlack;890273718097;0;17041532
913;Quantex;;0;216161
917;Micro-exchange;;0;0
916;Cryptos;;0;241268
925;Sunduk;;0;1183592
918;КриптоРай;;0;3134
939;EuroBit;;0;12172898
935;Wiki-Exchange;;0;122804784
922;PayWallet;;0;155440
923;HD-Change;;0;31478
943;TopCash;;0;526747
927;Msk-Exchange;;0;29925155
933;TytCash;;0;116457
929;RoyalCash;;0;701654488
930;Crypto-Store;;0;427630
942;ExHub;;0;4389093
944;EExchanger;330964771407;315;34112578
949;Coco-Pay;;0;7548356
948;AbcObmen;;0;198832834
952;ExLine;;0;69870
954;E-Change;;0;79874353
961;MyBTC;;0;34036831
960;Crybex;195257639270;0;39996711
959;ExchangeKey;;0;43357575
953;Livex;;0;0
956;Обменко;;0;41529045
958;24Zone;;0;34827492
963;Global-Ex;;0;133337
955;AlfaBit;;0;44912672
966;BlaBlaChange;;0;132529373
964;ExBase;;0;56092
1018;BissonExchange;;0;51617208
