59;93;5.29
42;56;3.39
10;42;3.32
93;42;3
42;93;2.86
10;105;2.84
93;105;2.23
105;93;2.07
42;10;1.62
93;59;1.56
10;60;1.48
10;56;1.36
10;84;1.29
105;10;1.22
6;56;1.21
56;42;1.15
10;89;0.99
10;59;0.99
6;93;0.89
42;60;0.76
93;10;0.58
59;10;0.55
60;42;0.55
139;42;0.5
10;91;0.49
10;93;0.49
42;84;0.48
93;56;0.45
10;6;0.45
6;10;0.43
10;185;0.43
105;56;0.39
139;105;0.39
91;10;0.39
89;10;0.38
63;93;0.37
42;185;0.36
93;60;0.36
99;42;0.35
84;42;0.35
105;185;0.35
56;10;0.35
10;66;0.33
99;105;0.33
17;93;0.3
93;84;0.3
93;91;0.29
36;42;0.29
108;56;0.29
36;105;0.28
42;99;0.28
1;56;0.27
10;52;0.24
93;66;0.24
42;139;0.24
208;105;0.24
208;42;0.23
93;52;0.23
60;10;0.22
10;17;0.21
93;17;0.21
36;89;0.2
10;58;0.2
51;93;0.2
59;60;0.2
105;139;0.2
42;208;0.2
56;93;0.2
42;40;0.19
99;60;0.19
93;89;0.19
105;99;0.18
149;42;0.18
52;93;0.18
63;10;0.18
1;59;0.17
42;36;0.17
52;10;0.17
91;93;0.17
56;17;0.17
36;91;0.17
105;84;0.17
10;111;0.16
139;10;0.16
68;42;0.16
108;60;0.16
17;10;0.15
59;56;0.15
59;63;0.14
63;99;0.1
10;63;0.09
63;56;0.08
93;63;0.07
63;60;0.06
63;84;0.04
63;40;0.04
63;185;0.03
63;149;0.02
63;117;0.02
99;63;0.02
