54;177;Visa/MasterCard BYN;BYN Карта;974;3;100110111011111111011111001100010011000011110001100110011111110101011101111000111100010110011100011100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
56;160;Приват 24 UAH;UAH Приват24;980;3;101010011011111111111110001100010101111111110011100000111111011111111111111000110011110100011100011111000000001001000011010000000000000101000100111111111111110000000011111111101111111111111111111011110000000000001000000000000001110111100000000000011100001000000000000000
44;101;Skrill USD;USD Skrill;840;1;101010011011111111111110001000010111111111111011110010111111111111111111101110110011110100011100010100000001001000000011010000000000000101000100111111111111100111111111111111111111111111111111111011110000000000000000000000000001110111100000000000011100001000000000000000
58;173;Visa/MasterCard USD;USD Карта;840;3;100110111011111111011111001100010011001011110001100110011111110101011101111000111111010110011100011100000000000000001010000000000000000101000100000000000000000000000000001001000100000000000000100000110101100100000000000000000001000000000000000000000000000000000000000000
59;174;Visa/MasterCard RUB;RUB Карта;643;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001111111001011111110000000011000101000100111110111000000111111111111110111111111111111111111011110001010111111001000011000001100111111000000000010100001000000000000000
60;176;Visa/MasterCard UAH;UAH Карта;980;3;101010011011111111111110000000010101111111110011100000111111011111111111110000110011110100011100010111000000001000000011010000000000000101000100111111111111110100000011111111101111111111111111111011110000000000000000000000000001110111100000000000011100001000000000000000
46;143;Тинькофф cash-in RUB;RUB ТКС cash-in;643;3;100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
61;53;BAT (BAT);BAT;1002;0;111111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111101111111101110001000001110110110000011000101010111111110111111111111111111111111111111111111011111111011110111000111111100110000000001011111100001100000011110001000000000000000
62;140;Альфа cash-in RUB;RUB Альфа cash-in;643;3;100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
63;84;QIWI RUB;RUB QIWI;643;1;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111101111101001001111110000000011000101000100111110111111110111111111111111111111111111111111111011110000010000101000000000000001100111100000000000010100000000000000000000
64;146;Русский Стандарт RUB;RUB РусСтандарт;643;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001110001001011111010000000111000101000100101110111000000111111111111111111111111111111111111001110000000000000000000000000001100111100000000000010100000000000000000000
65;175;Visa/MasterCard EUR;EUR Карта;978;3;100110111111111111011111001100010011001011110001100110011111110101011101111000111111010110011100011100000000000000001010000000000000000101000100000000000000000000000000001001000100000000000000100000110101100100000000000000000001000000000000000000000000000000000000000000
57;150;Кукуруза RUB;RUB Кукуруза;643;3;100010011011111111011100000000000001111111110001011101101110111001011001010000100001010100011100011011000000000001000000000000000000000100000100000000000000000111111100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
66;171;Kaspi Bank KZT;KZT KaspiBank;398;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110011111011111001011111001000011010000000000000101000100111110111111110111111111110111111111111111111111111011110011010111111101000011110101111111100000000000011100001000000000000000
67;236;WU USD;USD WU;840;4;100000010000000000001000000000000000000000000000000000000000000000000000001000100000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
68;162;Ощадбанк UAH;UAH Ощадбанк;980;3;101010011011111111111110000000010101111111110011100000111111011111111111110000110011110100011100010111000000001000000011010000000000000101000100111111111111110000000011111111101111111111111111111011110000000000000000000000000001110111100000000000011100001000000000000000
69;202;Банковский счет USD;USD Банк;840;3;100000010001011000001000001000000000000001000001000000000000000100000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000110000000000000000000000000000000000000000000000010000000000000000000000
73;4;Wrapped BTC (WBTC);WBTC;1050;0;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111100001010000000001110010110000011000101010111111111111111110000000011111111101111111111011111111011110010000000000000000000000001001001100001100000011100010000000000000000
70;204;Банковский счет EUR;EUR Банк;978;3;100010010001100000011000001000000010000000101000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000
71;203;Банковский счет RUB;RUB Банк;643;3;101010011011111111011100001100000000011011100001100000011111010000010000010000000000000000011100011100000000000000000000000000000010000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
72;108;Neteller USD;USD Neteller;840;1;100010010001100000011000001000000010000000101000000010010000000000000000000000110011000000010100010110000000000000000000000000000000000101000100000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
74;104;Paxum USD;USD Paxum;840;1;000000000000000000001000000000000000000000000000000000000000000000000000001000100001010000010000010000000000000000000000000000000000000100000100000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11;103;Idram AMD;AMD Idram;51;1;100010010011011010001000000000000000001001000001000000000000000000000000001000100000000000011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
